[2021-05-03T22:57:28+0000] [PACMAN] Running 'pacman -Syu --root /d/a/rtools-installer/rtools-installer/build/rtools40'
[2021-05-03T22:57:28+0000] [PACMAN] synchronizing package lists
[2021-05-03T22:57:30+0000] [PACMAN] starting core system upgrade
[2021-05-03T22:57:30+0000] [PACMAN] starting full system upgrade
[2021-05-03T22:57:30+0000] [PACMAN] Running 'pacman -S --noconfirm --root /d/a/rtools-installer/rtools-installer/build/rtools40 texindex-bat rsync winpty file bsdtar findutils libxml2 libexpat mintty msys2-launcher pacman curl make tar texinfo texinfo-tex patch diffutils gawk grep rebase zip unzip gzip mingw-w64-i686-gcc-fortran mingw-w64-i686-pkg-config mingw-w64-i686-tools mingw-w64-x86_64-gcc-fortran mingw-w64-x86_64-pkg-config mingw-w64-x86_64-tools mingw-w64-ucrt-x86_64-gcc-fortran mingw-w64-ucrt-x86_64-pkg-config mingw-w64-ucrt-x86_64-tools mingw-w64-x86_64-qpdf'
[2021-05-03T22:57:53+0000] [ALPM] transaction started
[2021-05-03T22:57:53+0000] [ALPM] installed bash (5.1.004-1)
[2021-05-03T22:57:53+0000] [ALPM] installed gmp (6.2.1-1)
[2021-05-03T22:57:53+0000] [ALPM] installed mpfr (4.1.0-1)
[2021-05-03T22:57:53+0000] [ALPM] installed gcc-libs (10.2.0-1)
[2021-05-03T22:57:53+0000] [ALPM] installed libiconv (1.16-2)
[2021-05-03T22:57:53+0000] [ALPM] installed libintl (0.19.8.1-1)
[2021-05-03T22:57:53+0000] [ALPM] installed msys2-runtime (3.2.0-3)
[2021-05-03T22:58:02+0000] [ALPM] installed ncurses (6.2-1)
[2021-05-03T22:58:02+0000] [ALPM] installed libreadline (8.1.0-1)
[2021-05-03T22:58:02+0000] [ALPM] installed gawk (5.1.0-1)
[2021-05-03T22:58:02+0000] [ALPM] installed libdb (5.3.28-3)
[2021-05-03T22:58:02+0000] [ALPM] installed db (5.3.28-3)
[2021-05-03T22:58:02+0000] [ALPM] installed libgdbm (1.19-1)
[2021-05-03T22:58:02+0000] [ALPM] installed gdbm (1.19-1)
[2021-05-03T22:58:02+0000] [ALPM] installed libcrypt (2.1-3)
[2021-05-03T22:58:03+0000] [ALPM] installed coreutils (8.32-1)
[2021-05-03T22:58:08+0000] [ALPM] installed perl (5.32.1-1)
[2021-05-03T22:58:08+0000] [ALPM] installed texinfo-tex (6.7-3)
[2021-05-03T22:58:08+0000] [ALPM] installed texindex-bat (9000-1)
[2021-05-03T22:58:08+0000] [ALPM] installed liblz4 (1.9.3-1)
[2021-05-03T22:58:08+0000] [ALPM] installed zlib (1.2.11-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libopenssl (1.1.1.k-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libxxhash (0.8.0-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libzstd (1.4.9-1)
[2021-05-03T22:58:08+0000] [ALPM] installed rsync (3.2.3-1)
[2021-05-03T22:58:08+0000] [ALPM] installed winpty (0.4.3-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libbz2 (1.0.8-2)
[2021-05-03T22:58:08+0000] [ALPM] installed file (5.40-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libexpat (2.3.0-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libgettextpo (0.19.8.1-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libasprintf (0.19.8.1-1)
[2021-05-03T22:58:08+0000] [ALPM] installed gettext (0.19.8.1-1)
[2021-05-03T22:58:08+0000] [ALPM] installed liblzma (5.2.5-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libhogweed (3.7.2-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libnettle (3.7.2-1)
[2021-05-03T22:58:08+0000] [ALPM] installed libxml2 (2.9.10-9400)
[2021-05-03T22:58:09+0000] [ALPM] installed bsdtar (3.5.1-1)
[2021-05-03T22:58:09+0000] [ALPM] installed findutils (4.8.0-1)
[2021-05-03T22:58:09+0000] [ALPM] installed mintty (1~3.4.7-2)
[2021-05-03T22:58:09+0000] [ALPM] installed msys2-launcher (1.3-2)
[2021-05-03T22:58:09+0000] [ALPM] installed expat (2.3.0-1)
[2021-05-03T22:58:09+0000] [ALPM] installed curl-ca-bundle (7.64.1-9500)
[2021-05-03T22:58:09+0000] [ALPM] installed rtools-mirrors (20210502-1)
[2021-05-03T22:58:09+0000] [ALPM] installed msys2-keyring (1~20210213-2)
[2021-05-03T22:58:09+0000] [ALPM] installed which (2.21-2)
[2021-05-03T22:58:09+0000] [ALPM] installed bzip2 (1.0.8-2)
[2021-05-03T22:58:09+0000] [ALPM] installed xz (5.2.5-1)
[2021-05-03T22:58:09+0000] [ALPM] installed zstd (1.4.9-1)
[2021-05-03T22:58:10+0000] [ALPM] installed pacman (5.2.2-9000)
[2021-05-03T22:58:10+0000] [ALPM] installed openssl (1.1.1.k-1)
[2021-05-03T22:58:10+0000] [ALPM] installed libcurl (7.64.1-9500)
[2021-05-03T22:58:11+0000] [ALPM] installed curl (7.64.1-9500)
[2021-05-03T22:58:11+0000] [ALPM] installed make (4.2.1-9400)
[2021-05-03T22:58:11+0000] [ALPM] installed tar (1.32-9400)
[2021-05-03T22:58:11+0000] [ALPM] installed libpcre (8.44-1)
[2021-05-03T22:58:11+0000] [ALPM] installed less (581-1)
[2021-05-03T22:58:11+0000] [ALPM] installed gzip (1.10-1)
[2021-05-03T22:58:11+0000] [ALPM] installed info (6.7-3)
[2021-05-03T22:58:12+0000] [ALPM] installed texinfo (6.7-3)
[2021-05-03T22:58:12+0000] [ALPM] installed patch (2.7.6-1)
[2021-05-03T22:58:12+0000] [ALPM] installed diffutils (3.7-1)
[2021-05-03T22:58:12+0000] [ALPM] installed grep (3.0-2)
[2021-05-03T22:58:12+0000] [ALPM] installed sed (4.8-1)
[2021-05-03T22:58:12+0000] [ALPM] installed filesystem (2021.04-3)
[2021-05-03T22:58:12+0000] [ALPM] installed dash (0.5.11.3-1)
[2021-05-03T22:58:13+0000] [ALPM] installed rebase (4.4.4-2)
[2021-05-03T22:58:13+0000] [ALPM] installed zip (3.0-3)
[2021-05-03T22:58:13+0000] [ALPM] installed unzip (6.0-2)
[2021-05-03T22:58:13+0000] [ALPM] installed mingw-w64-i686-libiconv (1.16-1)
[2021-05-03T22:58:13+0000] [ALPM] installed mingw-w64-i686-bzip2 (1.0.8-1)
[2021-05-03T22:58:13+0000] [ALPM] installed mingw-w64-i686-zlib (1.2.11-9100)
[2021-05-03T22:58:15+0000] [ALPM] installed mingw-w64-i686-binutils (2.33.1-1)
[2021-05-03T22:58:18+0000] [ALPM] installed mingw-w64-i686-headers-git (5.0.4-9501)
[2021-05-03T22:58:18+0000] [ALPM] installed mingw-w64-i686-crt-git (5.0.4-9500)
[2021-05-03T22:58:19+0000] [ALPM] installed mingw-w64-i686-isl (0.21-1)
[2021-05-03T22:58:19+0000] [ALPM] installed mingw-w64-i686-gmp (6.1.2-9002)
[2021-05-03T22:58:19+0000] [ALPM] installed mingw-w64-i686-mpfr (4.0.2-9002)
[2021-05-03T22:58:19+0000] [ALPM] installed mingw-w64-i686-mpc (1.1.0-9002)
[2021-05-03T22:58:19+0000] [ALPM] installed mingw-w64-i686-windows-default-manifest (6.4-9500)
[2021-05-03T22:58:19+0000] [ALPM] installed mingw-w64-i686-winpthreads-git (5.0.4-9500)
[2021-05-03T22:58:23+0000] [ALPM] installed mingw-w64-i686-gcc (8.3.0-9502)
[2021-05-03T22:58:25+0000] [ALPM] installed mingw-w64-i686-gcc-fortran (8.3.0-9502)
[2021-05-03T22:58:25+0000] [ALPM] installed mingw-w64-i686-pkg-config (0.29.2-9002)
[2021-05-03T22:58:25+0000] [ALPM] installed mingw-w64-i686-tools-git (5.0.4-9500)
[2021-05-03T22:58:25+0000] [ALPM] installed mingw-w64-x86_64-libiconv (1.16-1)
[2021-05-03T22:58:25+0000] [ALPM] installed mingw-w64-x86_64-bzip2 (1.0.8-1)
[2021-05-03T22:58:25+0000] [ALPM] installed mingw-w64-x86_64-zlib (1.2.11-9100)
[2021-05-03T22:58:27+0000] [ALPM] installed mingw-w64-x86_64-binutils (2.33.1-1)
[2021-05-03T22:58:30+0000] [ALPM] installed mingw-w64-x86_64-headers-git (5.0.4-9501)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-crt-git (5.0.4-9500)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-isl (0.21-1)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-gmp (6.1.2-9002)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-mpfr (4.0.2-9002)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-mpc (1.1.0-9002)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-windows-default-manifest (6.4-9500)
[2021-05-03T22:58:32+0000] [ALPM] installed mingw-w64-x86_64-winpthreads-git (5.0.4-9500)
[2021-05-03T22:58:37+0000] [ALPM] installed mingw-w64-x86_64-gcc (8.3.0-9502)
[2021-05-03T22:58:38+0000] [ALPM] installed mingw-w64-x86_64-gcc-fortran (8.3.0-9502)
[2021-05-03T22:58:38+0000] [ALPM] installed mingw-w64-x86_64-pkg-config (0.29.2-9002)
[2021-05-03T22:58:38+0000] [ALPM] installed mingw-w64-x86_64-tools-git (5.0.4-9500)
[2021-05-03T22:58:38+0000] [ALPM] installed mingw-w64-ucrt-x86_64-libiconv (1.16-2)
[2021-05-03T22:58:38+0000] [ALPM] installed mingw-w64-ucrt-x86_64-bzip2 (1.0.8-1)
[2021-05-03T22:58:38+0000] [ALPM] installed mingw-w64-ucrt-x86_64-zlib (1.2.11-9100)
[2021-05-03T22:58:40+0000] [ALPM] installed mingw-w64-ucrt-x86_64-binutils (2.36.1-9800)
[2021-05-03T22:58:44+0000] [ALPM] installed mingw-w64-ucrt-x86_64-headers-git (9.0.0.6158.1c773877-1)
[2021-05-03T22:58:45+0000] [ALPM] installed mingw-w64-ucrt-x86_64-crt-git (9.0.0.6158.1c773877-1)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-isl (0.21-1)
